nr,date,year,title,duration_min,notes,link
83,2019-10-16,2019,"Huch, eine Öko-FDP!",43,"Grün in der Schweiz, EU-Fans in Österreich, Tempolimit-Gegner in Deutschland: Warum sind unsere liberalen Parteien so unterschiedlich? Außerdem: Wahlen in der Schweiz

In Österreich heißen die Liberalen Neos, sie sind pink, sehr pro-europäisch und jung. In der Schweiz heißen die Liberalen FDP, und neuerdings geben sie sich grün und klimabewegt. Und in Deutschland heißen sie zwar auch FDP, sind aber eher autobewegt. Wir diskutieren, mit welchen unterschiedlichen Strategien die liberalen Parteien in unseren Ländern um Erfolg kämpfen und wie gut das funktioniert.

Zweites Thema bei “Servus. Grüezi. Hallo.”: Am 20. Oktober wählt die Schweiz National- und Ständerat. Wir klären, wie die Wahl funktioniert und was den Wahlkampf von denen in Deutschland und Österreich unterscheidet.",https://www.zeit.de/gesellschaft/2019-10/politikpodcast-servus-grueezi-hallo-16-oktober-2019
84,2019-10-22,2019,Regieren mit Zauberformel,43,"Warum die Wahl in der Schweiz nichts ändert und doch vielleicht alles. Und der transalpine Süßigkeitenstreit: Schweizer Schokolade vs. Manner Schnitten vs. Gummibärchen.

Im Schweizer Parlament sitzen jetzt mehr Frauen als in Deutschland oder Österreich. Die Grünen gewinnen, die SVP verliert, aber ist doch noch stärkste Kraft, und an der Zusammensetzung der Regierung ändert sich erst mal eh nix – wir diskutieren das für Außenstehende merkwürdig behäbige Schweizer Wahlsystem und die Ergebnisse vom Sonntag.

Zweites Thema bei “Servus. Grüezi. Hallo.“: Süßigkeiten! Der Terminator isst Manner-Schnitte, die Schweiz subventioniert ihre Schokolade und Lübeck tut so, als hätte es das Marzipan erfunden.",https://www.zeit.de/gesellschaft/2019-10/politikpodcast-servus-grueezi-hallo-22-oktober-2019
85,2019-11-01,2019,Bassisten werden immer abgewählt,74,"Live aus Bern: warum die Grünen in Ostdeutschland nicht gewinnen und in der Schweiz nicht regieren können. Und: Wie groß sollte eigentlich eine Hauptstadt sein?

In der Deutschen Botschaft in Bern diskutieren wir, was von diesem transalpinen Superwahljahr bleibt: Wird in der Schweiz alles anders und waren die Wahlen in Ostdeutschland wirklich so dramatisch wie befürchtet? Außerdem versucht unser Gast, die Grüne Berner Nationalrätin Aline Trede, zu erklären, wie die Grünen eigentlich die Weltrettung-Erwartungen ihrer Greta-bewegten Wähler mit den Kompromisszwängen der Tagespolitik zusammenbringen wollen. Und warum die Schweizer Grünen trotz des spektakulären Wahlerfolgs eher nicht mitregieren werden.

Zweites Thema bei „Servus. Grüezi. Hallo.“: Hauptstädte. Das kleine Bern ist als Bundesstadt Sitz der Regierung, nicht etwa Zürich oder Genf. Was sagt das über das Selbstverständnis der Schweizer, und wie gemütlich ist die Schweizer Politik deshalb? Aline Trede erzählt von der Abgeordneten-Band Fraktionszwang, in der sie mit Vertretern auch gegnerischer Parteien spielt – und wie schwierig es ist, gute Politiker-Bassisten zu finden. Wir diskutieren außerdem, was es andererseits mit dem kleinen Österreich macht, dass es vom überproportional riesigen Wien dominiert wird, und wie zwiegespalten viele Deutsche zu ihrer alten, neuen Hauptstadt Berlin stehen.",https://www.zeit.de/gesellschaft/2019-11/politikpodcast-servus-grueezi-hallo-1-november-2019
86,2019-11-06,2019,Im Sparbuch-Land,38,"Deutsche bekommen Sparbücher schon in der Grundschule, in der Schweiz liegt jetzt Bargeld in Tresoren: wie unsere Länder sparen. Und eine Verteidigung der Schneekanone.

Mehr als zehn Prozent des Einkommens sparen Deutsche im Schnitt, die Österreicher weniger, die Schweizer sogar noch mehr. Wohin geht das Geld? Und wer ist nun Schuld daran, dass es keine Zinsen mehr gibt? Wir diskutieren den deutschen Sparfimmel und die Folgen der niedrigen Zinsen für die Schweizer Banken.

Zweites Thema bei “Servus. Grüezi. Hallo.“: Wie schlimm ist Kunstschnee? Vielen Alpenorten würde ohne die Schneekanonen der Tourismus wegbrechen. Legitimiert das den hohen Wasserverbrauch und die Belastung für die Berge?",https://www.zeit.de/gesellschaft/2019-11/politikpodcast-servus-grueezi-hallo-6-november-2019
87,2019-11-13,2019,Flüsse unter Strom,39,"Die Alpenflüsse werden zur Stromgewinnung zugebaut, darunter leidet die Natur. Was ist wichtiger? Außerdem: die besten Würste aus Deutschland, Österreich und der Schweiz.

60 Prozent des Stroms gewinnt Österreich aus Wasserkraft, die Schweiz ähnlich viel. Das ist zwar gut fürs Klima, aber schlecht für die Flüsse, die kaum noch natürlich fließen können. Und für die Fische, die in den Staudämmen und Anlagen zerhäckselt werden. Wie lässt sich das lösen? Und warum setzt man in Deutschland eher auf Wind- als auf Wasserkraft?

Zweites Thema bei “Servus. Grüezi. Hallo.“: Käsekrainer und Berner, Fränkische und Frankfurter Würste, Wiener, Cervelat und Salsiz – wir vergleichen das Wurstangebot in unseren Ländern. Und wundern uns, dass die Schweizer so viel weniger essen als Deutsche und Österreicher.",https://www.zeit.de/gesellschaft/2019-11/politikpodcast-servus-grueezi-hallo-13-november-2019
88,2019-11-20,2019,"Brudi, gibt es für uns noch Rente?",47,"Warum kriegen Österreicher so viel mehr Rente als Deutsche und wie zukunftsfest ist das Schweizer System? Und: Wie Deutschrap die Charts dominiert.

In Deutschland hat der Bundestag gerade die Grundrente beschlossen, weil viele nicht gut von ihrer Rente leben können. Wie die Altersvorsorge in der Schweiz und in Österreich funktioniert, diskutieren wir in dieser und der folgenden Sendung. Diesmal geht es um die gesetzliche Versicherung und darum, wie hoch die Renten eigentlich ausfallen, für die der Staat garantiert. Und was das Riskante am Schweizer System der beruflichen Vorsorge ist.

Außerdem bei “Servus. Grüezi. Hallo.“: RAF Camora dominiert die Charts in den Alpenländern, deutschsprachiger Rap ist auch bei Spotify erfolgreicher als alle anderen Genres. Woher kommt das und was macht österreichischen und Schweizer Rap im Vergleich zum deutschen aus?",https://www.zeit.de/gesellschaft/2019-11/politikpodcast-servus-grueezi-hallo-20-november-2019
89,2019-11-27,2019,Jetzt sind die Ösis völlig durchgedreht,42,"Goldbarren, Jagdgewehre und Whatsapp-Gekungel: Wir besprechen die verrückte Woche in Österreich. Und wir klären, was unsere Länder gegen Altersarmut tun.

Die österreichischen Polit-Skandale werden immer absurder – weswegen wir diese Woche unsere Rubrik “Die spinnen” zu einer XXL-Version ausbauen. Wir besprechen, wohin sich die FPÖ bei einem Bürgerkrieg zurückziehen wollte und was ein SPÖ-Politiker so auf dem Rücksitz seines Porsches rumliegen hat. Und was Heinz-Christian Strache bei Whatsapp schreibt.

Außerdem bei “Servus. Grüezi. Hallo.“: Teil zwei zur Rente. Diesmal geht es um private Altersvorsorge und wie diese staatlich subventioniert wird. Und darum, was der Staat eigentlich für jene tut, die im Alter zu wenig zum Leben haben.",https://www.zeit.de/gesellschaft/2019-11/politikpodcast-servus-grueezi-hallo-29-november-2019
90,2019-12-04,2019,Moskau liegt jetzt in Belgien,54,"Was sind unsere Feindbilder? Beim europäischen Mediengipfel in Lech diskutieren wir die Wut auf Brüssel, SUV-Fahrer und Ökos. Und fragen, worauf unsere Länder stolz sind.

Live vom 13. Europäischen Mediengipfel in Lech am Arlberg: mit Claudia Gamon, Europaabgeordnete der österreichischen NEOS, sprechen wir darüber, welche Feindbilder es in Österreich, der Schweiz und Deutschland so gibt. Warum man zwar nicht mehr ganze Länder zum Feind erklärt, aber dafür gerne auf Brüssel schimpft. Und was es bedeutet, dass sich heute vor allem Milieus in herzhafter Ablehnung gegenüberstehen.

Außerdem erklärt Claudia Gamon, ob sie stolz darauf ist Vorarlbergerin zu sein und was sie von Wien hält. Und wir ergründen, ob es in unseren Ländern einen unbeschwerten Patriotismus gibt.",https://www.zeit.de/gesellschaft/2019-12/politikpodcast-servus-grueezi-hallo-4-dezember-2019
91,2019-12-11,2019,Pyroshow für Jesus,41,"Ekel-Glühwein, Würstchen, Rauchnächte: wir vergleichen Weihnachtsbräuche in Österreich, Deutschland und der Schweiz. Und wir erklären, wer in der Schweiz die Gesetze macht.

Heute wird in der Schweiz eine neue Regierung gewählt – die aber die alte ist und eh nicht allzu viel zu sagen hat .Wir fragen uns: wer macht denn dann in der Schweiz die Gesetze wenn nicht die Regierung? Die Antwort enthält schöne Worte wie das “Vernehmlassungsverfahren” und das “Differenzbereinigungsverfahren”, ist aber trotzdem spannend.

Außerdem bei “Servus. Grüezi. Hallo.“: Der Boom der Weihnachtsmärkte in unseren Ländern und was wir eigentlich so an Heiligabend essen. Und Geschichten über Osttiroler Rauchnächte.",https://www.zeit.de/gesellschaft/2019-12/politikpodcast-servus-grueezi-hallo-11-dezember-2019
92,2019-12-17,2019,"Himmel, Hölle, Rock’n Roll",48,"Kommunisten, Misanthrophen, blöde Baugruppen: Wir empfehlen Bücher aus Deutschland, Österreich und der Schweiz – und dazu noch Serien und Filme.

In der letzten Folge von ""Servus. Grüezi. Hallo."" vor den Feiertagen streiten wir ausnahmsweise nicht, sondern reden über die Bücher, Serien und Filme aus unseren drei Ländern sprechen, die uns in diesem Jahr besonders gefesselt haben.

Die transalpine Bücherliste

Schweiz: Lea Haller, Transithandel. Geld- und Warenströme im globalen Kapitalismus (Suhrkamp) Lukas Bärfuss, Malinois (Wallstein) Sibylle Berg, GRM Brainfuck (Kiepenheuer & Witsch) Simone Lappert, Der Sprung (Diogenes) Chris von Rohr, Himmel, Hölle, Rock’n’Roll (Wörterseh)

Deutschland: Jan-Werner Müller: Furcht und Freiheit (Suhrkamp) Anke Stelling: Schäfchen ins Trockene (Verbrecher Verlag)

Österreich: Raoul Schrott, Eine Geschichte des Windes oder Von dem deutschen Kanonier, der erstmals die Welt umrundete und dann ein zweites und dann ein drittes Mal (Hanser) Maximilian Graf, Sarah Knoll, Ina Markova, Karlo Ruzicic-Kessler, Franz Marek - ein europäischer Marxist (Mandelbaum) Ernst Bruckmüller, Österreichische Geschichte (Böhlau) Tonio Schachinger, Nicht wie ihr (Kremayr und Scheriau) Harald Darer, Blaumann (Picus) Lorenz Langenegger, Jahr ohne Winter (Jung und Jung) Ana Marwan, Der Kreis des Weberknechts (Otto Müller) Angela Lehner, Vater unser. (Hanser) Bianca Kos, Das Mundstück (Otto Müller)",https://www.zeit.de/gesellschaft/2019-12/politikpodcast-servus-grueezi-hallo-18-dezember-2019
93,2019-12-25,2019,Auch Weihnachten rettet die Kirche nicht,36,"Wer geht bei uns noch in den Gottesdienst und wie hat der Katholizismus Österreich geprägt? Wir diskutieren die Macht der Kirchen in unseren Ländern.

Zu Heiligabend gehen viel noch in die Kirche, aber sonst nimmt ihre Bedeutung ab. In Österreich hat vor allem der Umgang mit den Missbrauchsskandalen der katholischen Kirche geschadet, in der Schweiz ärgern sich viele über die Kirchensteuer. Wir besprechen, welche Macht die Kirchen in unseren Ländern noch haben und wie sie bis heute Politik beeinflussen.",https://www.zeit.de/gesellschaft/2019-12/politikpodcast-servus-grueezi-hallo-25-dezember-2019
94,2020-01-08,2020,In Wien wagen sie mal was,39,"Ist die türkis-grüne Koalition ein Modell für Deutschland und die Schweiz und was haben die Grünen für die Macht bezahlt? Und: Die Schweiz will Schwulenhass verbieten.

Das Land klimapolitisch umkrempeln und gleichzeitig einen harten Kurs in der Asyl- und Migrationspolitik fahren: das ist das Programm der neuen Regierung Österreichs, aus konservativer ÖVP und Grünen. Wie schwer tut sich der Juniorpartner der Regierung damit und kann das gut gehen? Und warum schauen deutsche Medien so begeistert dabei zu?

Außerdem bei “Servus. Grüezi. Hallo.“: Die Schweiz will einen neuen Straftatbestand einführen um auch homosexuellenfeindliche Taten extra zu ahnden. Warum erst jetzt? Im Deutschland und Österreich gibt es das schon lange, dafür haben die Länder ein Problem mit der Statistik.",https://www.zeit.de/gesellschaft/2020-01/politikpodcast-servus-grueezi-hallo-8-januar-2020
95,2020-01-15,2020,"Eins, Zwei, Polizei",43,"Straßenkämpfe, Arbeitslosigkeit Avantgarde: Was die 1920er-Jahre in unseren Ländern prägte und ob sie nun wiederkommen. Außerdem: Was die Deutschen mit der Polizei haben.

Nach den Ausschreitungen in Leipzig-Connewitz streitet Deutschland darüber, wie viel Kritik an der Polizei eigentlich erlaubt ist – und die Nachbarn aus Österreich und der Schweiz wundern sich. Warum ist das Verhältnis der Öffentlichkeit zur Polizei so unterschiedlich?

Außerdem bei “Servus. Grüezi. Hallo.”: Ein Rückblick auf die sehr besonderen 1920er Jahre, die in Deutschland schon als Blaupause für die Gegenwart gelten. Wir reden über Schweizer Erfindungen, österreichische Kunst und Deutsche Straßenkämpfe aus dieser so prägenden Zeit.",https://www.zeit.de/gesellschaft/2020-01/politikpodcast-servus-grueezi-hallo-15-januar-2020
96,2020-01-22,2020,I schänke dr mis Härz,43,"In Österreich sind fast alle Organspender, warum traut man sich das in Deutschland nicht? Außerdem: warum Schweizer und Österreicher gerade auf zwei Skirennen starren.

Der deutsche Bundestag hat sich gegen die Widerspruchslösung entschieden, Organspender wird weiterhin nur, wer sich von sich aus dafür entscheidet. In Österreich ist das schon seit 40 Jahren anders. Warum? Werden dort jetzt deshalb mehr Organe transplantiert? Und wie hält es die liberale Schweiz mit ihren Herzen, Lebern und Nieren?

Zweites Thema bei “Servus. Grüezi. Hallo.“: Nationalsport Skifahren. Zwischen Lauberhorn- und Hahnenkammrennen diskutieren wir, wie wichtig die großen Weltcup-Abfahrten für die Schweizer und Österreicher sind. Und was die Skistars von den Fussballstars unterscheidet.",https://www.zeit.de/gesellschaft/2020-01/politikpodcast-servus-grueezi-hallo-22-januar-2020
97,2020-01-29,2020,Parteien der beleidigten Leberwürste,42,"Weil HC Strache mit einer neuen Partei liebäugelt diskutieren wir über Parteiabspaltungen. Und: Warum die Schweiz und Österreich nicht aus der Kohle aussteigen müssen.

DAÖ – das ist keine NDW-Band, sondern eine neue österreichische FPÖ-Abspaltung, für die auch Heinz-Christian Strache antritt – vielleicht. Wird sie so erfolglos sein wie die vielen anderen Parteiabspaltungen von Haiders BZÖ bis zur Liste Pilz? Und warum gibt es eigentlich in der Schweiz so irre viele Aufspaltungen in der politischen Landschaft?

Außerdem bei “Servus. Grüezi. Hallo.“: Deutschland zahlt Milliarden für den Kohleausstieg – und braucht doch noch bis 2038. Warum sind die Nachbarländer so viel schneller?",https://www.zeit.de/gesellschaft/2020-01/parteiabspaltungen-fpoe-daoe-oesterreich-schweiz-politikpodcast
98,2020-02-05,2020,“Trinkt abends gerne ein Bier”,46,"900.000 Akten über vermeintliche Gefährder: Wir erzählen vom Fichenskandal vor 30 Jahren – und von den sich häufenden Cyberangriffen in unseren Ländern. Chemieunternehmen, Krankenhäuser, in Österreich sogar das Außenministerium: Immer wieder greifen Hacker Firmen und Institutionen in den Alpenländern an, der Schaden geht längst in die Milliarden. Wie reagieren die Regierungen in der Schweiz, in Österreich und in Deutschland darauf? Und kann es sein, dass die meisten Bürger diese Bedrohung einfach noch nicht wirklich ernst nehmen?

Außerdem bei “Servus. Grüezi. Hallo.“: Wie der Fichenskandal vor 30 Jahren die Schweiz erschütterte und warum er auf gewisse Art bis heute andauert. Wir reden darüber, wie der Staat über seine Bürger, vor allem vermeintliche Kommunisten, hunderttausende Akten anlegte und sogar Internierungslager plante.",https://www.zeit.de/gesellschaft/2020-02/fichenskandal-cyberkriminalitaet-hacker-politikpodcast
99,2020-02-12,2020,Thüringen liegt in den Alpen,46,"Dammbrüche nach rechts gab es auch in der Schweiz und in Österreich – welche Folgen hatte das für die Konservativen? Außerdem: der transalpine Funktionsjacken-Wahn.

In Deutschland ist die Aufregung über den ersten auch mit AfD-Stimmen gewählten Ministerpräsidenten groß, die CDU-Vorsitzende ist (auch) deshalb auf dem Rückzug. Was waren die Tabubrüche im Umgang mit FPÖ und SVP in Österreich und der Schweiz? Und warum sind es eigentlich (fast) immer die Konservativen, die den Rechtspopulisten nachgeben? Wir diskutieren über die schwierige Grenzziehung zu den rechten Parteien in unseren Ländern.

Außerdem bei “Servus. Grüezi. Hallo.“: Der Zürcher Markenfetischismus und die Renaissance der Trachten – wir versuchen uns am Thema Mode.",https://www.zeit.de/gesellschaft/2020-02/rechtspopulismus-fpoe-svp-thueringen-afd-cdu-konservative-politikpodcast
100,2020-02-19,2020,100 x Servus! Grüezi! Hallo!,77,"Jubiläumsausgabe! Wir lassen unsere Hörerinnen zu Wort kommen und beantworten solange ihre Fragen bis wir aus dem Studio fliegen.

Wie nehmen wir unseren Podcast auf? Was trinken wir dabei? Was mögen wir an den jeweils anderen Ländern am meisten? Welche Bücher erklären unsere Länder am besten? Warum nochmal ist die Schweiz eigentlich so reich? Und wem gehört das Baby, das im Hintergrund jeweils schreit? In unserer extralangen 100. Sendung beantworten wir möglichst viele Hörerfragen, lassen uns ein bisschen beschimpfen und loben – und werden schließlich aus dem Studio geworfen.",https://www.zeit.de/gesellschaft/2020-02/jubilaeum-podcast-behind-the-scenes-politikpodcast
101,2020-02-26,2020,Corona vor Wien,37,"Reisewarnungen, Grenzschließungen: wie die Alpenländer auf den sich ausbreitenden Virus reagieren. Und: Warum es in Deutschland mehr rechten Terror gibt.

Ein Mann erschießt neun Menschen in Shisha-Bars in Hanau und schwadronierte vorher davon, dass man ganze Völker “auslöschen” müsse. Wir diskutieren, warum in Deutschland der rechte Terror so stark ist, wenn doch in Sachen Rechter Rhetorik eigentlich die Schweiz und Österreich vorne liegen.

Außerdem bei “Servus. Grüezi. Hallo.“: Der Corona-Virus Covid-19 hat es bis in die Schweiz und nach Österreich geschafft, weswegen die beiden Länder Züge stoppen, Reisewarnungen aussprechen, über Grenzschließungen nachdenken. Was daran ist Hysterie, was angemessen?",https://www.zeit.de/gesellschaft/2020-02/covid-19-oesterreich-coronavirus-politikpodcast
102,2020-03-04,2020,Staat/Virus,41,"Die Corona-Fälle häufen sich, der österreichische Boulevard macht Panik, die deutsche Kanzlerin schüttelt keine Hände mehr. Außerdem: Stirbt das Landleben?

Was ist der richtige Umgang mit dem Corona-Virus? In der Schweiz werden Großveranstaltungen verboten, in Österreich und Deutschland ist man (noch) vorsichtiger. So oder so hat der Staat angesichts des Virus plötzlich wieder ungeahnte Durchgriffsrechte. Wir diskutieren den schmalen Grad zwischen berechtigter Sorge und Panik und die Verantwortung der Medien.

Zweites Thema bei “Servus. Grüezi. Hallo.”: Ein neues Buch trauert um das Landleben, wie wir es kennen. Warum sehen Dörfer heute so anders aus als früher und wie schlimm sind noch mal Vorstädte?",https://www.zeit.de/gesellschaft/2020-03/covid-19-coronaviorus-panik-ansteckung-politikpodcast
103,2020-03-11,2020,Nie wieder 2015,41,"Migranten an der türkisch-griechischen Grenze? Nicht unser Problem. Sebastian Kurz legt seine Best-Of auf und die Schweiz hält sich raus. Außerdem: Streunende Katzen.

Wie gehen die Alpenländer mit der Eskalation an der türkisch-griechischen Grenze um? Sie nehmen jedenfalls keine Flüchtlinge von dort auf. Dabei sitzen in Wien doch die Grünen mit in der Regierung. Wir diskutieren, warum sie sich die Grenzschließung-Politik von Sebastian Kurz gefallen lassen. Und warum Deutschland wohl nur ein paar hundert Kinder von den griechischen Inseln aufnimmt, obwohl Umfragen für eine größere Aufnahmebereitschaft sprechen.

Zweites Thema bei “Servus. Grüezi. Hallo.“: Katzen. Hunderttausende Streuner richten massive Schäden an. In Österreich gibt es eine Kastrationspflicht, in vielen deutschen Gemeinden auch, warum in der Schweiz nicht? Wer ist dafür verantwortlich, wenn Haustiere Kinder bekommen, um die sich dann niemand kümmert?",https://www.zeit.de/gesellschaft/2020-03/tuerkisch-griechische-grenze-sebastian-kurz-fluechtlinge-politikpodast
104,2020-03-18,2020,Ein Corona auf Ischgl,58,"Wie hat das Coronavirus das Leben in Deutschland, Österreich und der Schweiz verändert und warum wurde ein Tiroler Skiort zum Wuhan Europas?

Lockdown, Ausgangssperre, Homeoffice: Das Coronavirus hat unser Leben auf den Kopf gestellt, nichts ist mehr so wie vor einer Woche. Wie gehen unsere Länder und unsere Gesellschaften damit um? Wir diskutieren die Unterschiede, fragen uns, warum in der Schweiz die größte Mobilmachung seit dem Zweiten Weltkrieg stattfindet, warum überall Klopapier gehortet wird und was das alles mit dem Prenzlauer Berg zu tun hat.

Zweites Thema bei ""Servus. Grüezi. Hallo"": Viele Hunderte Coronafälle in Europa lassen sich auf einen Tiroler Tourismusort zurückführen. Dort haben sich Skiurlauber infiziert, beim Aprés-Ski, beim Tanzen, im dichten Gewusel. Doch warum wurde der Ort nicht gleich dichtgemacht, als die ersten Fälle in Island auftauchten und die dortige Regierung Ischgl zum Risikogebiet erklärte?",https://www.zeit.de/gesellschaft/2020-03/coronavirus-pandemie-deutschland-oesterreich-schweiz-ischgl-politikpodcast
105,2020-03-25,2020,Virologische Landesverteidigung,63,"Wie wägt man den Kampf gegen Corona und die Einschränkung der Grundrechte ab? Wir diskutieren die Grenzen des Ausnahmezustands – und die Probleme im Homeoffice.

Zwei Meter Abstand soll man in der Schweiz halten, in Deutschland anderthalb, in Österreich nur einen Meter – komisch, oder? Wir besprechen die Unterschiede der Corona-Regeln, die jetzt in unseren Ländern gelten. Und wir streiten darüber, ob es eine Sehnsucht nach einem autoritären Staat gibt.

Außerdem bei “Servus. Grüezi. Hallo.“: Wie kriegt man Struktur in den neuen Homeoffice-Alltag? Und: Warum Homeoffice ein Privileg ist.",https://www.zeit.de/gesellschaft/2020-03/corona-ausnahmezustand-virologie-grundrechte-politikpodcast
106,2020-04-01,2020,Der Corona-Crash,66,"Die Wirtschaft bricht ein, viele Österreicher, Schweizer und Deutsche kämpfen in der Coronakrise um ihre Existenzen. Wie helfen die Regierungen? Außerdem: Schulalltag in den Alpen.

Das öffentliche Leben steht still wegen des Corona-Virus. Mit Milliardenpaketen versuchen die Regierungen in Wien, Bern und Berlin, die schlimmsten Folgen der Rezession zu verhindern. Wer kriegt was? Und gibt es auch Trittbrettfahrer?

Außerdem bei “Servus. Grüezi. Hallo.“: Wie der Schulalltag in unseren Ländern aussieht und was man mit Latein anfangen kann.",https://www.zeit.de/gesellschaft/2020-04/wirtschaft-coronavirus-krise-schule-politikpodcast
107,2020-04-08,2020,Wer braucht jetzt schon Parlamente,62,"Die Abgeordneten in den Alpenländern sind gerade ziemlich egal, die Regierenden umso beliebter. Wie lange hält das an? Und: Wieso ist die Schweizer Fahne quadratisch?

In der Schweiz sind die Sitzungen des Parlaments nach wie vor ausgesetzt und auch in Deutschland wird es noch dauern bis der Bundestag wieder zusammentritt. Wie werden unsere drei Länder derzeit regiert und welche Regelungen gibt es für Krisen?

Außerdem bei ""Servus. Grüezi. Hallo."": Heraldik und Flaggenkunde. Wozu sollte man sich mit Wappen beschäftigen, warum ist die Schweizer Fahne quadratisch, wieso ist die österreichische blutgetränkt und woher kommt das deutsche Schwarz, Rot und Gold?",https://www.zeit.de/gesellschaft/2020-04/abgeordnete-parlamente-regierende-flaggen-politikpodcast
108,2020-04-15,2020,Die Corona-Babys,63,"Wie funktionieren Geburten, wenn Krankenhäuser im Virus-Ausnahmezustand sind? Wo ist der Hebammenmangel am schlimmsten? Und: Warum die Schweiz kaum schöne Parks hat.

In manchen Kliniken dürfen Väter nicht bei der Geburt dabei sein und fast überall in Deutschland, Österreich und der Schweiz sind die Besuchszeiten danach stark eingeschränkt. Das Coronavirus erschwert auch die Entbindungen. Dazu kommt, vor allem in Deutschland, ein krasser Hebammenmangel. Wir diskutieren, wie Geburten in unseren Ländern ablaufen – im Ausnahmezustand und im Normalfall.

Zweites Thema bei “Servus. Grüezi. Hallo.”: Wenn jetzt alle wegen der Reise- und sonstigen Beschränkungen in die Parks strömen: Wie sehen die bei uns eigentlich aus? Wir reden über den riesigen Prater, über die aristokratischen Gärten und die wilderen Volksparks, und über die wenigen Schweizer Parks, die zu allem Überfluss auch noch Pärke heißen.

Außerdem hat der transalpine Podcast nun einen Merchandising-Shop. Vom T-Shirt über die Schürze bis zum Babylätzchen gibt es nun alles mit ""Servus. Grüezi. Hallo.""-Logo hier zu kaufen. ZEIT ONLINE verdient daran nichts.",https://www.zeit.de/gesellschaft/2020-04/geburten-krankenhaeuser-hebammen-coronavirus-politikpodcast
109,2020-04-22,2020,Die Kids sind nicht allright,41,"In Berlin laufen schon die Abiprüfungen, die Schweizer Schulen machen im Mai auf – und wann die österreichischen? Außerdem: Wie Corona dem E-Sport zum Boom verhilft.

Am 11. Mai öffnen in der Schweiz als Erstes die Volksschulen, weil die kleineren Kinder die Beschulung nötiger haben. In Deutschland geht’s genau andersrum, die ältesten Schüler sind als Erstes dran. Nur Österreich hat noch keinen Plan. Wir diskutieren die Hürden für Schulen und Kitas beim Weg aus der Corona-Krise.

Zweites Thema bei “Servus. Grüezi. Hallo.“: Wie in unseren Ländern über Computerspiele diskutiert wird. Rücken sie jetzt dank Corona aus der Nische in den Mittelpunkt? Und wie werden sie gefördert?",https://www.zeit.de/gesellschaft/2020-04/schuleroeffnung-abitur-coronavirus-e-sport-politikpodcast
110,2020-04-29,2020,Das Corona-Foul,44,"Geisterspiele oder Saisonabbruch? Wir reden über Spitzenfußball und die Probleme auch der anderen Sportvereine wegen Corona. Außerdem: die große Aprildürre.

Noch im Mai soll die deutsche Bundesliga laufen, wenn auch ohne Zuschauer. Wie handhaben das die Ligen in der Schweiz und Österreich, die viel mehr auf die Ticketeinnahmen angewiesen sind? Und wer hilft jetzt eigentlich den vielen kleinen Sportvereinen?

Außerdem bei ""Servus. Grüezi. Hallo."": die ausgetrockneten Alpen. Seit Wochen hat es in unseren Ländern kaum geregnet, die Böden sind spröde, die Landwirtschaft gefährdet. Droht das nächste Dürrejahr?",https://www.zeit.de/gesellschaft/2020-04/fussball-sportvereine-alpen-trockenheit-politikpodcast
111,2020-05-06,2020,Milliarden für die Lufthoheit,43,"Was sind den Alpenländern ihre Fluglinien wert? Sollte man sie besser verstaatlichen? Außerdem: Woher unsere Hymnen kommen.

10 Milliarden für die Lufthansa, 767 Millionen für Austrian Airlines, 1,275 Millionen für die Swiss: Riesige Summen, die als Hilfe für die Fluglinien diskutiert werden. Wir diskutieren, warum gerade diese Unternehmen den Ländern offenbar so viel wert sind – und was sie dafür im Gegenzug verlangen sollten.

Außerdem bei “Servus. Grüezi. Hallo.“: Wie die Deutschen den Österreichern die Hymne klauten und warum die Schweiz einen Psalm ihre Hymne nennt.",https://www.zeit.de/gesellschaft/2020-05/luftfahrtindustrie-lufthansa-swiss-austrian-hymnen-politikpodcast
112,2020-05-13,2020,Wo bleiben die Piefke?,47,"Die Deutschen arrangieren sich mit dem Urlaub im Inland – und bringen so die Hotels in der Schweiz und Österreich in Nöte. Und: Wie man in unseren Ländern essen geht.

Die Hotels öffnen auch in Deutschland und Österreich wieder, aber die Grenzen bleiben noch dicht für Touristen. Während die Deutschen sich jetzt mit Ostsee statt Mittelmeer und Bayern statt Tirol abfinden müssen, haben die Nachbarländer ganz andere Probleme: Denn ohne ausländische Touristen sind die Hotels in der Schweiz und Österreich nicht überlebensfähig. Wie geht es für sie weiter und warum sind die Deutschen überhaupt so reiseverrückt?

Zweites Thema bei ""Servus. Grüezi. Hallo."": die Restaurants in unseren Ländern. In Deutschland geht die heimische Küche immer weiter zurück, auch in Österreich sterben die klassischen Gasthäuser. Durch was werden sie ersetzt?",https://www.zeit.de/gesellschaft/2020-05/urlaub-deutschland-tourismus-hotels-schweiz-oesterreich
